,요리명
222,찹쌀밥 새알만두국 토마토소스등갈비구이 발사믹샐러드 석박지 엔요요구르트
223,찹쌀밥 북어콩나물국 쥐취포조림 야채소시지케첩 배추김치 콘푸레이크 초코첵스 우리밀와플 생크림
224,낙지콩나물비빔밥 배추김치 피자핫도그 요구르트
225,삼겹살김치덮밥 팽이버섯된장국 스크램블에그 새우튀김 김가루 깍두기 바나나
226,계란밥 순두부찌개 비엔나야채볶음 배추김치 오렌지쥬스 브라우니케잌
227,찰보리밥 참치김치찌개 파채겉절이 대패불고기 제철 연근튀김 나박김치
228,찹쌀밥 맑은콩나물국 쫄면야채무침 매운통등심돈까스 깍두기 깻잎김치
229,찹쌀밥 쇠고기우거지국 두부굴소스볶음 찐왕만두 배추김치 글레이즈드 과일쥬스
230,율무밥 나주곰탕당면 찰순대허브소금 자반고등어구이양념장 석박지 사과
231,김가루밥 떡국 통곡물뮤즐리멸치볶음 오징어김치전 석박지 허쉬초코우유
232,찹쌀밥 얼큰콩나물국 볼어묵조림 레몬향생선까스 배추김치 바나나우유 초코에끌레어
233,새싹힐링비빔밥 초고추장 강릉초당황태순두부찌개 소떡소떡꼬치 배추김치 요쿠르트 호두과자
234,카레라이스 소프트미니치즈케익 어묵김치국 숙주나물무침 양념닭강정 열무김치
235,찹쌀밥 고구마빅데니쉬 배추된장국 참치야채볶음 스팸구이 케첩 깍두기 콘푸레이크 아몬드후레이크
236,잡곡밥 우렁살아욱된장국 스웨디시미트볼 멸치견과류볶음 배추김치 파인애플
237,찹쌀밥 쇠고기육개장 어묵당면잡채 두부구이 석박지 양념장 청포도
238,찹쌀밥 딸기잼핫케이크 떡국 진미채엿장조림 등갈비조림 배추김치 오렌지쥬스
239,기장밥 버섯들깨탕 해물찜 간장마늘치킨 배추김치 
240,밥 잔치국수 찐옥수수 오징어초무침 배추김치 바나나
241,찹쌀밥 무채맑은국 오리훈제부추무침 배추김치 포도스무디 식빵토스트오렌지쨈
242,자반주먹밥 유부장국 계란떡볶이 매콤당면김말이 배추김치 능금쥬스
243,찹쌀밥 조갯살미역국 상추겉절이 양배추쌈 한돈맥적구이 보쌈김치 두부우렁쌈장
244,찹쌀밥 쇠고기무국 잔멸치깻잎찜 고구마닭갈비 모닝빵딸기잼 콘푸레이크 오레오오즈
245,찹쌀밥 소면설렁탕 참치두부조림 치즈돈까스 석박지 요플레
246,자장덮밥 계란파국 브로콜리오징어초장 배추김치 짜먹는요구르트 꼬물이만두
247,찹쌀밥 버터크로와상 호박된장국 스크램블드에그 케첩 콩나물불고기 배추김치 쵸코우유
248,강황쌀밥 떡국 닭봉윙조림 고소참치야채전 깍두기 
249,찹쌀밥 고추장짬뽕국 연두부찜 김피탕 깍두기 파인애플
250,찹쌀밥 들깨감자수제비 진미채엿장조림 해물완자전 배추김치 쁘띠푸딩 아침 쿠키
251,흑미밥 얼갈이배추된장국 새송이 통마늘구이 수제떡갈비 배추김치 바나나
252,찹쌀밥 콩나물국 멸치견과류볶음 김치볶음 계란후라이 김가루 델리팜햄구이 골드키위주스
253,찹쌀밥 우리밀허니카스테라 팽이버섯된장국 쫄깃만두양념장 파래돌김자반 배추김치 콘푸레이크 아몬드후레이크
254,저염팽이맑은국 고구마떡맛탕☆ 지바치밥 배추김치 오렌지
255,찹쌀밥 맑은아귀탕 닭갈비떡볶음 깍두기 옥수수마요네즈범벅 핫도그 케첩
256,찹쌀밥 떡국 안동찜닭 부들어묵피망볶음 허니버터아몬드 KF비스킷딸기쨈 과일쥬스
257,현미밥 들깨수제비 영양갈비찜 감자햄볶음 배추김치 사과
258,찹쌀밥 콩가루배추국 상추쌈 부추파절이 아삭이고추된장무침 돼지고기구이 보쌈김치 토마토
259, 죽 길거리토스트 쵸코우유 콘푸레이크 스페셜K
260,해물짬뽕 목화솜깐쇼새우 배추김치 오렌지
261,찹쌀밥 카카오붓세 쇠고기미역국 계란장조림 스팸구이 케첩 배추김치 오렌지쥬스
262,홍국쌀밥 시금치바지락살된장국 돈 불고기 옥수수야채전 석박지 사과
263,찹쌀밥 부대찌개 돈육메추리알장조림 맛살미역줄기볶음 깍두기 사과
264,찹쌀밥 닭곰탕 햄감자채볶음 맛살계란말이 코코넛빵 배추김치 매실쥬스
265,흑미밥 무채맑은국 알감자버터구이 수제갈릭치킨스테이크 배추김치 식혜
266,콩나물밥 우렁된장찌개 토마토스파게티 배추김치 바나나 마늘빵
267,찹쌀밥 설렁탕 고소김무침 돈육김치볶음 두부 배추김치 콘푸레이크 그래놀라 딸기마카롱
268,셀프참치마요김밥 모듬꼬치어묵국 매콤달콤떡볶이 수제야채튀김 배추김치 요구르트
269,찹쌀밥 콩비지찌개 삼색나물무침 양념장 파래김자반 언양식바싹불고기 배추김치
270,찹쌀밥 순두부김치국 미역줄기볶음 김치 불닭볶음 텐저린 에그타르트
271,기장밥 춘천막국수 얼큰콩나물국 모듬야채쌈 춘천닭갈비 배추김치 오렌지
272,찹쌀밥 닭곰탕 고구마줄기볶음 오징어볶음 소면 깍두기 바삭김부각
273,찹쌀밥 아욱된장국 너비아니조림 아몬드멸치볶음 배추김치 콘푸레이크 그래놀라 리얼수제딸기머핀
274,클로렐라밥 돈사골국 온두부김치볶음 양송이오믈렛 석박지 
275,한돈불고기덮밥 건새우무국 콩나물무침 고구마맛탕 배추김치 비피더스요구르트
276,찹쌀밥 얼큰콩나물국 쥐취포조림 돼지불고기 배추김치 딸기요플레 프렌치토스트
277,닭다리삼계탕 부추겉절이 석박지 회오리감자시즈닝 과일쥬스
278,찹쌀밥 유부보쌈어묵국 치즈떡 비엔나케첩볶음 애호박전 배추겉절이 골드키위
