"식사코드	급식일자	요리명"
"1	20190128	찹쌀밥<br/>참치김치찌개5.9.13.<br/>안동찜닭5.6.8.13.15.<br/>배추나물무침5.6.<br/>허니버터갈릭1.2.5.6.13.<br/>더블업 요구르트2."
"2	20190128	계란밥(+간장/참기름)1.2.5.6.10.13.<br/>찹쌀새알미역국13.<br/>쌈배추/쌈장5.6.<br/>고구마피자1.5.6.10.12.13.<br/>배추김치9.13."
"3	20190128	찹쌀밥<br/>바나나미니도넛%1.2.5.6.13.<br/>배추된장국5.6.13.<br/>날치알계란말이@1.5.6.13.<br/>배추김치9.13.<br/>김소떡%5.6.12.13.16.18."
"1	20190129	찹쌀밥<br/>쇠고기무국5.6.13.16.<br/>유채나물5.6.13.<br/>두반장불닭볶음5.6.12.13.15.<br/>생크림모찌5.13.<br/>텐저린*5.13."
"2	20190129	흑미밥<br/>꼬치어묵국1.5.6.13.<br/>쌈배추/쌈장5.6.<br/>돼지불고기@5.6.10.13.<br/>오지치즈후라이@2.5.6.10.12.13.<br/>배추김치9.13."
"3	20190129	찹쌀밥<br/>시금치콩나물국5.6.13.<br/>돈육메추리알조림@1.5.6.10.13.<br/>비빔막국수@5.6.13.<br/>배추김치9.13."
"1	20190130	찹쌀밥<br/>돈육고추장찌개5.6.10.<br/>쥐취포조림5.6.13.<br/>베이컨채소볶음10.13.<br/>에그타르트1.2.5.6.13.<br/>포도쥬스"
"2	20190130	현미밥<br/>쇠고기떡국(주)1.5.6.<br/>셀프베지치킨샌드위치1.2.5.6.10.12.13.15.<br/>꽈리고추멸치볶음5.6.13.<br/>배추김치9.13.<br/>귤(생과)"
"3	20190130	찹쌀밥<br/>감자미역국@5.6.13.<br/>두부양념조림%5.6.13.<br/>브로콜리&초장5.6.13.<br/>돈육떡강정@1.2.4.5.6.10.12.13.<br/>배추김치9.13."
"1	20190131	찹쌀밥<br/>북어채달걀국1.13.<br/>멸치풋고추조림5.6.13.<br/>야채소시지&케첩2.5.6.10.12.13.<br/>배추김치9.13.<br/>콘푸레이크/오레오오즈2.5.6.13.<br/>우유만쥬1.2.5.6.13."
"2	20190131	참치야채비빔밥5.6.13.<br/>들깨무채국13.<br/>야채튀김@2.5.6.<br/>배추김치9.13.<br/>♡쥬스"
"3	20190131	찹쌀밥<br/>두부콩나물국5.13.<br/>건파래무침%5.6.13.<br/>스위트콘샐러드@1.2.5.6.10.13.<br/>돈까스만두%1.2.5.6.10.11.12.13.<br/>석박지9.13."
"1	20190201	찹쌀밥<br/>미니크림치즈프레즐1.2.5.6.13.<br/>고추장찌개5.6.10.13.<br/>오리훈제&부추무침<br/>볼어묵조림1.2.5.6.10.13.<br/>프로바이오틱2."
"2	20190201	전주식순대국밥 5.6.9.10.13.<br/>소떡소떡꼬치2.5.6.10.12.13.<br/>부추겉절이@5.6.13.<br/>석박지9.13.<br/>바나나(생과)"
"1	20190208	찹쌀밥<br/>순두부김치국5.6.9.13.<br/>계란후라이1.5.<br/>스팸구이&케첩1.6.10.13.<br/>애플파이1.2.5.6.13.<br/>텐저린5.13."
"2	20190208	쌀밥<br/>잔치국수/밥1.5.6.9.13.<br/>파래돌김자반13.<br/>매콤닭꼬치5.6.12.13.15.<br/>배추김치9.13.<br/>귤(생과)"
"3	20190208	찹쌀밥<br/>바지락미역국@5.6.13.18.<br/>상추쌈&아삭이고추된장무침<br/>꽈리고추멸치볶음5.6.13.<br/>콩나물불고기%5.6.10.13.<br/>배추김치9.13."
"1	20190209	찹쌀밥<br/>아욱콩나물국5.6.13.<br/>진미채오이무침/김치5.6.13.<br/>매콤닭불구이2.5.6.12.15.<br/>감귤쥬스<br/>카카오머핀1.2.5.6.13."
"2	20190209	찹쌀밥<br/>등뼈감자탕5.6.10.13.<br/>과일샐러드1.2.4.5.6.11.13.<br/>치즈돈까스1.2.5.6.10.12.13.<br/>배추김치9.13."
"3	20190209	찹쌀밥<br/>순두부김치국5.6.9.13.<br/>오이깍둑무침@5.6.13.<br/>불닭 떡갈비%2.<br/>석박지9.13.<br/>쥬시쿨5.13."
"1	20190210	찹쌀밥<br/>배추된장국5.6.13.<br/>오리훈제&부추무침1.5.6.13.<br/>명엽채엿장볶음5.6.13.<br/>우유(200ml)2.<br/>시리얼/첵스5.6.13."
"2	20190210	찹쌀밥<br/>부대찌개2.5.6.9.10.13.<br/>돈육메추리알조림1.5.6.10.13.<br/>상추겉절이5.6.13.<br/>우리밀와플&생크림1.2.5.6.13.<br/>과일음료"
"3	20190210	찹쌀밥<br/>팽이버섯된장국%5.6.13.<br/>청포묵김무침@1.5.6.13.<br/>삼치데리야끼조림@5.6.13.<br/>배추김치9.13."
"1	20190211	찹쌀밥<br/>쇠고기버섯찌개5.6.13.16.<br/>비타민나물5.6.13.<br/>스팸김치볶음/두부5.6.9.10.13.<br/>유기농요구르트2.<br/>생크림모찌5.13."
"2	20190211	찹쌀밥<br/>감자미역국5.6.13.<br/>매운갈비찜5.6.10.13.<br/>파프리카잡채/김치5.6.8.13.<br/>유기농요구르트2.<br/>피자핫도그1.2.5.6.10.12.13."
"3	20190211	찹쌀밥<br/>순두부찌개5.6.9.13.<br/>안동찜닭%2.5.6.8.13.15.<br/>근대나물5.6.<br/>오징어김치전@1.5.6.9.13.17.<br/>백김치9.13."
